"","Data.as.of","Start.week","End.Week","State","Sex","Age.group","COVID.19.Deaths","Total.Deaths","Pneumonia.Deaths","Pneumonia.and.COVID.19.Deaths","Influenza.Deaths","Pneumonia..Influenza..or.COVID.19.Deaths","Footnote"
"275","07/22/2020","02/01/2020","07/11/2020","Florida","Male","5-14 years",NA,99,NA,NA,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"276","07/22/2020","02/01/2020","07/11/2020","Florida","Male","15-24 years",NA,769,15,NA,NA,20,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"277","07/22/2020","02/01/2020","07/11/2020","Florida","Male","25-34 years",20,1567,40,10,NA,55,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"278","07/22/2020","02/01/2020","07/11/2020","Florida","Male","35-44 years",62,2038,85,27,NA,126,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"279","07/22/2020","02/01/2020","07/11/2020","Florida","Male","45-54 years",136,3469,217,74,20,297,""
"280","07/22/2020","02/01/2020","07/11/2020","Florida","Male","55-64 years",280,8038,566,148,31,729,""
"281","07/22/2020","02/01/2020","07/11/2020","Florida","Male","65-74 years",550,12146,1123,292,36,1417,""
"282","07/22/2020","02/01/2020","07/11/2020","Florida","Male","75-84 years",699,14557,1417,359,34,1790,""
"283","07/22/2020","02/01/2020","07/11/2020","Florida","Male","85 years and over",616,13847,1221,301,20,1553,""
"284","07/22/2020","02/01/2020","07/11/2020","Florida","Male","All ages",2368,56910,4694,1214,159,5999,""
"285","07/22/2020","02/01/2020","07/11/2020","Florida","Female","Under 1 year",0,258,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"286","07/22/2020","02/01/2020","07/11/2020","Florida","Female","1-4 years",0,56,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"287","07/22/2020","02/01/2020","07/11/2020","Florida","Female","5-14 years",0,68,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"288","07/22/2020","02/01/2020","07/11/2020","Florida","Female","15-24 years",NA,273,NA,NA,NA,11,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"289","07/22/2020","02/01/2020","07/11/2020","Florida","Female","25-34 years",11,699,33,NA,NA,39,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"290","07/22/2020","02/01/2020","07/11/2020","Florida","Female","35-44 years",27,1115,58,14,NA,78,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"291","07/22/2020","02/01/2020","07/11/2020","Florida","Female","45-54 years",56,2042,131,26,12,173,""
"292","07/22/2020","02/01/2020","07/11/2020","Florida","Female","55-64 years",148,4913,387,78,23,480,""
"293","07/22/2020","02/01/2020","07/11/2020","Florida","Female","65-74 years",339,8358,726,182,39,922,""
"294","07/22/2020","02/01/2020","07/11/2020","Florida","Female","75-84 years",540,12162,1011,258,35,1327,""
"295","07/22/2020","02/01/2020","07/11/2020","Florida","Female","85 years and over",847,19566,1308,371,27,1810,""
"296","07/22/2020","02/01/2020","07/11/2020","Florida","Female","All ages",1973,49510,3668,941,151,4849,""
"297","07/22/2020","02/01/2020","07/11/2020","Florida","Unknown","All ages",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"298","07/22/2020","02/01/2020","07/11/2020","Florida Total","All","All Ages",4341,106428,8362,2155,310,10848,""
"299","07/22/2020","02/01/2020","07/11/2020","Georgia","Male","Under 1 year",NA,129,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"300","07/22/2020","02/01/2020","07/11/2020","Georgia","Male","1-4 years",0,38,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"301","07/22/2020","02/01/2020","07/11/2020","Georgia","Male","5-14 years",0,53,0,0,0,0,""
"302","07/22/2020","02/01/2020","07/11/2020","Georgia","Male","15-24 years",NA,348,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"303","07/22/2020","02/01/2020","07/11/2020","Georgia","Male","25-34 years",22,615,18,NA,0,31,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"304","07/22/2020","02/01/2020","07/11/2020","Georgia","Male","35-44 years",19,826,33,NA,NA,44,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"305","07/22/2020","02/01/2020","07/11/2020","Georgia","Male","45-54 years",100,1596,99,44,NA,161,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"306","07/22/2020","02/01/2020","07/11/2020","Georgia","Male","55-64 years",198,3716,262,83,10,387,""
"307","07/22/2020","02/01/2020","07/11/2020","Georgia","Male","65-74 years",352,5122,443,176,10,629,""
"308","07/22/2020","02/01/2020","07/11/2020","Georgia","Male","75-84 years",377,5180,522,193,11,716,""
"309","07/22/2020","02/01/2020","07/11/2020","Georgia","Male","85 years and over",245,3808,334,107,NA,480,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"310","07/22/2020","02/01/2020","07/11/2020","Georgia","Male","All ages",1315,21431,1715,621,50,2458,""
"311","07/22/2020","02/01/2020","07/11/2020","Georgia","Female","Under 1 year",0,94,0,0,0,0,""
"312","07/22/2020","02/01/2020","07/11/2020","Georgia","Female","1-4 years",0,24,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"313","07/22/2020","02/01/2020","07/11/2020","Georgia","Female","5-14 years",0,39,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"314","07/22/2020","02/01/2020","07/11/2020","Georgia","Female","15-24 years",NA,114,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"315","07/22/2020","02/01/2020","07/11/2020","Georgia","Female","25-34 years",NA,269,13,NA,NA,21,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"316","07/22/2020","02/01/2020","07/11/2020","Georgia","Female","35-44 years",23,512,36,10,NA,52,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"317","07/22/2020","02/01/2020","07/11/2020","Georgia","Female","45-54 years",58,1139,92,27,NA,128,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"318","07/22/2020","02/01/2020","07/11/2020","Georgia","Female","55-64 years",135,2506,189,58,13,279,""
"319","07/22/2020","02/01/2020","07/11/2020","Georgia","Female","65-74 years",243,3923,308,115,13,449,""
"320","07/22/2020","02/01/2020","07/11/2020","Georgia","Female","75-84 years",346,5053,389,152,14,597,""
"321","07/22/2020","02/01/2020","07/11/2020","Georgia","Female","85 years and over",416,6642,443,154,NA,713,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"322","07/22/2020","02/01/2020","07/11/2020","Georgia","Female","All ages",1232,20315,1476,520,60,2248,""
"323","07/22/2020","02/01/2020","07/11/2020","Georgia","Unknown","All ages",0,0,0,0,0,0,""
"324","07/22/2020","02/01/2020","07/11/2020","Georgia Total","All","All Ages",2547,41746,3191,1141,110,4706,""
"325","07/22/2020","02/01/2020","07/11/2020","Hawaii","Male","Under 1 year",0,13,0,0,0,0,""
"326","07/22/2020","02/01/2020","07/11/2020","Hawaii","Male","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"327","07/22/2020","02/01/2020","07/11/2020","Hawaii","Male","5-14 years",0,NA,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"328","07/22/2020","02/01/2020","07/11/2020","Hawaii","Male","15-24 years",0,29,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"329","07/22/2020","02/01/2020","07/11/2020","Hawaii","Male","25-34 years",0,51,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"330","07/22/2020","02/01/2020","07/11/2020","Hawaii","Male","35-44 years",0,96,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"331","07/22/2020","02/01/2020","07/11/2020","Hawaii","Male","45-54 years",NA,199,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"332","07/22/2020","02/01/2020","07/11/2020","Hawaii","Male","55-64 years",NA,423,NA,0,NA,12,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"333","07/22/2020","02/01/2020","07/11/2020","Hawaii","Male","65-74 years",NA,637,31,NA,NA,37,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"334","07/22/2020","02/01/2020","07/11/2020","Hawaii","Male","75-84 years",NA,659,45,NA,NA,52,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"335","07/22/2020","02/01/2020","07/11/2020","Hawaii","Male","85 years and over",NA,784,71,0,NA,77,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"336","07/22/2020","02/01/2020","07/11/2020","Hawaii","Male","All ages",12,2899,171,NA,14,195,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"337","07/22/2020","02/01/2020","07/11/2020","Hawaii","Female","Under 1 year",0,20,0,0,0,0,""
"338","07/22/2020","02/01/2020","07/11/2020","Hawaii","Female","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"339","07/22/2020","02/01/2020","07/11/2020","Hawaii","Female","5-14 years",0,NA,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"340","07/22/2020","02/01/2020","07/11/2020","Hawaii","Female","15-24 years",0,12,0,0,0,0,""
"341","07/22/2020","02/01/2020","07/11/2020","Hawaii","Female","25-34 years",NA,24,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"342","07/22/2020","02/01/2020","07/11/2020","Hawaii","Female","35-44 years",0,43,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"343","07/22/2020","02/01/2020","07/11/2020","Hawaii","Female","45-54 years",NA,103,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"344","07/22/2020","02/01/2020","07/11/2020","Hawaii","Female","55-64 years",0,243,21,0,NA,23,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"345","07/22/2020","02/01/2020","07/11/2020","Hawaii","Female","65-74 years",0,402,25,0,NA,28,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"346","07/22/2020","02/01/2020","07/11/2020","Hawaii","Female","75-84 years",NA,487,25,0,0,28,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"347","07/22/2020","02/01/2020","07/11/2020","Hawaii","Female","85 years and over",NA,1193,75,NA,NA,77,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"348","07/22/2020","02/01/2020","07/11/2020","Hawaii","Female","All ages",NA,2535,154,NA,NA,164,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"349","07/22/2020","02/01/2020","07/11/2020","Hawaii","Unknown","All ages",0,0,0,0,0,0,""
"350","07/22/2020","02/01/2020","07/11/2020","Hawaii Total","All","All Ages",20,5434,325,NA,20,359,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"351","07/22/2020","02/01/2020","07/11/2020","Idaho","Male","Under 1 year",0,32,0,0,0,0,""
"352","07/22/2020","02/01/2020","07/11/2020","Idaho","Male","1-4 years",0,NA,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"353","07/22/2020","02/01/2020","07/11/2020","Idaho","Male","5-14 years",0,14,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"354","07/22/2020","02/01/2020","07/11/2020","Idaho","Male","15-24 years",0,69,0,0,0,0,""
"355","07/22/2020","02/01/2020","07/11/2020","Idaho","Male","25-34 years",0,81,0,0,0,0,""
"356","07/22/2020","02/01/2020","07/11/2020","Idaho","Male","35-44 years",0,117,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"357","07/22/2020","02/01/2020","07/11/2020","Idaho","Male","45-54 years",0,194,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"358","07/22/2020","02/01/2020","07/11/2020","Idaho","Male","55-64 years",NA,472,23,NA,NA,30,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"359","07/22/2020","02/01/2020","07/11/2020","Idaho","Male","65-74 years",14,795,38,NA,NA,56,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"360","07/22/2020","02/01/2020","07/11/2020","Idaho","Male","75-84 years",21,941,55,NA,NA,70,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"361","07/22/2020","02/01/2020","07/11/2020","Idaho","Male","85 years and over",15,846,40,NA,NA,51,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"362","07/22/2020","02/01/2020","07/11/2020","Idaho","Male","All ages",56,3569,166,16,13,219,""
"363","07/22/2020","02/01/2020","07/11/2020","Idaho","Female","Under 1 year",0,22,0,0,0,0,""
"364","07/22/2020","02/01/2020","07/11/2020","Idaho","Female","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"365","07/22/2020","02/01/2020","07/11/2020","Idaho","Female","5-14 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"366","07/22/2020","02/01/2020","07/11/2020","Idaho","Female","15-24 years",0,22,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"367","07/22/2020","02/01/2020","07/11/2020","Idaho","Female","25-34 years",0,45,0,0,0,0,""
"368","07/22/2020","02/01/2020","07/11/2020","Idaho","Female","35-44 years",0,68,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"369","07/22/2020","02/01/2020","07/11/2020","Idaho","Female","45-54 years",0,122,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"370","07/22/2020","02/01/2020","07/11/2020","Idaho","Female","55-64 years",NA,333,22,NA,NA,24,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"371","07/22/2020","02/01/2020","07/11/2020","Idaho","Female","65-74 years",11,561,40,NA,NA,48,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"372","07/22/2020","02/01/2020","07/11/2020","Idaho","Female","75-84 years",16,843,35,NA,NA,49,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"373","07/22/2020","02/01/2020","07/11/2020","Idaho","Female","85 years and over",30,1222,52,NA,NA,82,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"374","07/22/2020","02/01/2020","07/11/2020","Idaho","Female","All ages",58,3245,157,15,12,212,""
"375","07/22/2020","02/01/2020","07/11/2020","Idaho","Unknown","All ages",0,0,0,0,0,0,""
"376","07/22/2020","02/01/2020","07/11/2020","Idaho Total","All","All Ages",114,6814,323,31,25,431,""
"377","07/22/2020","02/01/2020","07/11/2020","Illinois","Male","Under 1 year",NA,172,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"378","07/22/2020","02/01/2020","07/11/2020","Illinois","Male","1-4 years",0,32,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"379","07/22/2020","02/01/2020","07/11/2020","Illinois","Male","5-14 years",NA,49,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"380","07/22/2020","02/01/2020","07/11/2020","Illinois","Male","15-24 years",NA,486,NA,NA,0,10,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"381","07/22/2020","02/01/2020","07/11/2020","Illinois","Male","25-34 years",40,883,33,13,NA,62,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"382","07/22/2020","02/01/2020","07/11/2020","Illinois","Male","35-44 years",117,1181,76,49,NA,147,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"383","07/22/2020","02/01/2020","07/11/2020","Illinois","Male","45-54 years",279,2080,216,135,NA,363,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"384","07/22/2020","02/01/2020","07/11/2020","Illinois","Male","55-64 years",566,4824,504,299,15,786,""
"385","07/22/2020","02/01/2020","07/11/2020","Illinois","Male","65-74 years",930,6689,868,500,15,1313,""
"386","07/22/2020","02/01/2020","07/11/2020","Illinois","Male","75-84 years",939,7068,963,503,18,1417,""
"387","07/22/2020","02/01/2020","07/11/2020","Illinois","Male","85 years and over",771,6984,869,377,14,1276,""
"388","07/22/2020","02/01/2020","07/11/2020","Illinois","Male","All ages",3651,30448,3537,1879,71,5379,""
"389","07/22/2020","02/01/2020","07/11/2020","Illinois","Female","Under 1 year",NA,128,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"390","07/22/2020","02/01/2020","07/11/2020","Illinois","Female","1-4 years",0,21,0,0,0,0,""
"391","07/22/2020","02/01/2020","07/11/2020","Illinois","Female","5-14 years",0,37,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"392","07/22/2020","02/01/2020","07/11/2020","Illinois","Female","15-24 years",NA,157,NA,NA,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"393","07/22/2020","02/01/2020","07/11/2020","Illinois","Female","25-34 years",19,329,19,NA,NA,31,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"394","07/22/2020","02/01/2020","07/11/2020","Illinois","Female","35-44 years",42,559,49,22,NA,73,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"395","07/22/2020","02/01/2020","07/11/2020","Illinois","Female","45-54 years",106,1145,108,56,NA,160,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"396","07/22/2020","02/01/2020","07/11/2020","Illinois","Female","55-64 years",293,2968,323,156,16,476,""
"397","07/22/2020","02/01/2020","07/11/2020","Illinois","Female","65-74 years",518,4842,566,281,15,817,""
"398","07/22/2020","02/01/2020","07/11/2020","Illinois","Female","75-84 years",731,6860,787,361,27,1183,""
"399","07/22/2020","02/01/2020","07/11/2020","Illinois","Female","85 years and over",1286,11827,1204,549,38,1979,""
"400","07/22/2020","02/01/2020","07/11/2020","Illinois","Female","All ages",3001,28873,3062,1434,106,4733,""
"401","07/22/2020","02/01/2020","07/11/2020","Illinois","Unknown","All ages",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"402","07/22/2020","02/01/2020","07/11/2020","Illinois Total","All","All Ages",6652,59322,6599,3313,177,10112,""
"403","07/22/2020","02/01/2020","07/11/2020","Indiana","Male","Under 1 year",0,96,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"404","07/22/2020","02/01/2020","07/11/2020","Indiana","Male","1-4 years",NA,15,0,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"405","07/22/2020","02/01/2020","07/11/2020","Indiana","Male","5-14 years",0,37,0,0,0,0,""
"406","07/22/2020","02/01/2020","07/11/2020","Indiana","Male","15-24 years",NA,243,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"407","07/22/2020","02/01/2020","07/11/2020","Indiana","Male","25-34 years",NA,505,17,NA,0,20,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"408","07/22/2020","02/01/2020","07/11/2020","Indiana","Male","35-44 years",13,569,32,NA,NA,40,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"409","07/22/2020","02/01/2020","07/11/2020","Indiana","Male","45-54 years",49,1130,77,19,NA,114,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"410","07/22/2020","02/01/2020","07/11/2020","Indiana","Male","55-64 years",166,2741,243,83,11,336,""
"411","07/22/2020","02/01/2020","07/11/2020","Indiana","Male","65-74 years",365,3915,441,175,13,644,""
"412","07/22/2020","02/01/2020","07/11/2020","Indiana","Male","75-84 years",393,4232,524,177,16,755,""
"413","07/22/2020","02/01/2020","07/11/2020","Indiana","Male","85 years and over",380,3685,417,162,12,647,""
"414","07/22/2020","02/01/2020","07/11/2020","Indiana","Male","All ages",1377,17168,1754,629,61,2561,""
"415","07/22/2020","02/01/2020","07/11/2020","Indiana","Female","Under 1 year",0,94,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"416","07/22/2020","02/01/2020","07/11/2020","Indiana","Female","1-4 years",0,12,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"417","07/22/2020","02/01/2020","07/11/2020","Indiana","Female","5-14 years",0,25,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"418","07/22/2020","02/01/2020","07/11/2020","Indiana","Female","15-24 years",NA,79,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"419","07/22/2020","02/01/2020","07/11/2020","Indiana","Female","25-34 years",NA,202,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"420","07/22/2020","02/01/2020","07/11/2020","Indiana","Female","35-44 years",15,295,18,NA,0,24,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"421","07/22/2020","02/01/2020","07/11/2020","Indiana","Female","45-54 years",32,702,58,16,NA,79,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"422","07/22/2020","02/01/2020","07/11/2020","Indiana","Female","55-64 years",99,1791,171,57,11,224,""
"423","07/22/2020","02/01/2020","07/11/2020","Indiana","Female","65-74 years",215,2995,316,99,13,445,""
"424","07/22/2020","02/01/2020","07/11/2020","Indiana","Female","75-84 years",394,4111,432,155,14,684,""
"425","07/22/2020","02/01/2020","07/11/2020","Indiana","Female","85 years and over",598,6353,507,168,24,960,""
"426","07/22/2020","02/01/2020","07/11/2020","Indiana","Female","All ages",1356,16659,1511,504,70,2431,""
"427","07/22/2020","02/01/2020","07/11/2020","Indiana","Unknown","All ages",0,0,0,0,0,0,""
"428","07/22/2020","02/01/2020","07/11/2020","Indiana Total","All","All Ages",2733,33827,3265,1133,131,4992,""
"429","07/22/2020","02/01/2020","07/11/2020","Iowa","Male","Under 1 year",0,30,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"430","07/22/2020","02/01/2020","07/11/2020","Iowa","Male","1-4 years",0,10,NA,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"431","07/22/2020","02/01/2020","07/11/2020","Iowa","Male","5-14 years",0,15,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"432","07/22/2020","02/01/2020","07/11/2020","Iowa","Male","15-24 years",0,82,0,0,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"433","07/22/2020","02/01/2020","07/11/2020","Iowa","Male","25-34 years",NA,141,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"434","07/22/2020","02/01/2020","07/11/2020","Iowa","Male","35-44 years",NA,191,NA,NA,0,13,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"435","07/22/2020","02/01/2020","07/11/2020","Iowa","Male","45-54 years",24,405,25,12,NA,38,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"436","07/22/2020","02/01/2020","07/11/2020","Iowa","Male","55-64 years",62,1039,77,27,NA,115,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"437","07/22/2020","02/01/2020","07/11/2020","Iowa","Male","65-74 years",105,1611,124,30,NA,208,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"438","07/22/2020","02/01/2020","07/11/2020","Iowa","Male","75-84 years",99,1825,145,26,NA,227,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"439","07/22/2020","02/01/2020","07/11/2020","Iowa","Male","85 years and over",122,2046,161,28,NA,263,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"440","07/22/2020","02/01/2020","07/11/2020","Iowa","Male","All ages",424,7395,549,128,33,878,""
"441","07/22/2020","02/01/2020","07/11/2020","Iowa","Female","Under 1 year",NA,31,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"442","07/22/2020","02/01/2020","07/11/2020","Iowa","Female","1-4 years",0,NA,0,0,0,0,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"443","07/22/2020","02/01/2020","07/11/2020","Iowa","Female","5-14 years",0,NA,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"444","07/22/2020","02/01/2020","07/11/2020","Iowa","Female","15-24 years",NA,27,NA,NA,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"445","07/22/2020","02/01/2020","07/11/2020","Iowa","Female","25-34 years",NA,59,NA,NA,NA,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"446","07/22/2020","02/01/2020","07/11/2020","Iowa","Female","35-44 years",NA,108,NA,0,0,NA,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"447","07/22/2020","02/01/2020","07/11/2020","Iowa","Female","45-54 years",NA,224,15,NA,NA,19,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"448","07/22/2020","02/01/2020","07/11/2020","Iowa","Female","55-64 years",42,678,50,17,NA,79,"One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards."
"449","07/22/2020","02/01/2020","07/11/2020","Iowa","Female","65-74 years",70,1181,90,23,12,149,""
"450","07/22/2020","02/01/2020","07/11/2020","Iowa","Female","75-84 years",85,1667,126,24,12,199,""
"451","07/22/2020","02/01/2020","07/11/2020","Iowa","Female","85 years and over",153,3250,201,29,21,346,""
